"Index","PTBA.JK.Open","PTBA.JK.High","PTBA.JK.Low","PTBA.JK.Close","PTBA.JK.Volume","PTBA.JK.Adjusted"
"2021-06-30",2000,2030,1995,2000,18161700,919.589050292969
"2021-07-01",2030,2050,2000,2010,11926800,924.187072753906
"2021-07-02",2030,2120,2020,2100,19535700,965.568542480469
"2021-07-05",2110,2130,2040,2060,16037200,947.1767578125
"2021-07-06",2110,2170,2090,2150,24718600,988.558288574219
"2021-07-07",2130,2130,2100,2100,13590700,965.568542480469
"2021-07-08",2110,2120,2060,2070,11132900,951.774841308594
"2021-07-09",2090,2150,2060,2130,15219500,979.362426757812
"2021-07-12",2150,2160,2120,2120,12700100,974.764404296875
"2021-07-13",2120,2140,2060,2080,12721100,956.372680664062
"2021-07-14",2080,2120,2060,2070,11271500,951.774841308594
"2021-07-15",2070,2110,2070,2100,7678900,965.568542480469
"2021-07-16",2100,2170,2100,2130,27623200,979.362426757812
"2021-07-19",2140,2160,2120,2140,13533600,983.960388183594
"2021-07-21",2140,2170,2110,2130,17241000,979.362426757812
"2021-07-22",2150,2270,2140,2250,44501800,1034.53771972656
"2021-07-23",2300,2310,2220,2220,32513700,1020.74389648438
"2021-07-26",2220,2270,2220,2240,17187000,1029.93981933594
"2021-07-27",2260,2270,2210,2230,11666700,1025.34191894531
"2021-07-28",2230,2240,2180,2210,13950700,1016.14605712891
"2021-07-29",2220,2270,2190,2240,20433300,1029.93981933594
"2021-07-30",2230,2270,2200,2230,19335700,1025.34191894531
"2021-08-02",2250,2270,2210,2240,13784600,1029.93981933594
"2021-08-03",2240,2240,2210,2220,9003000,1020.74389648438
"2021-08-04",2250,2270,2230,2260,15136800,1039.1357421875
"2021-08-05",2270,2290,2190,2190,23635900,1006.95007324219
"2021-08-06",2210,2240,2200,2220,11295600,1020.74389648438
"2021-08-09",2240,2270,2200,2210,16669900,1016.14605712891
"2021-08-10",2240,2260,2210,2250,15439200,1034.53771972656
"2021-08-12",2270,2380,2250,2370,53808100,1089.71313476562
"2021-08-13",2380,2390,2310,2340,29949200,1075.91918945312
"2021-08-16",2350,2370,2320,2330,18091800,1071.3212890625
"2021-08-18",2320,2320,2240,2250,34384400,1034.53771972656
"2021-08-19",2250,2270,2130,2150,43424500,988.558288574219
"2021-08-20",2150,2170,2100,2110,39361100,970.166442871094
"2021-08-23",2120,2130,2080,2100,53197900,965.568542480469
"2021-08-24",2120,2140,2070,2080,35462400,956.372680664062
"2021-08-25",2090,2110,2090,2090,15412100,960.970581054688
"2021-08-26",2100,2120,2080,2100,15548200,965.568542480469
"2021-08-27",2100,2110,2080,2080,11491100,956.372680664062
"2021-08-30",2100,2120,2090,2110,17414300,970.166442871094
"2021-08-31",2110,2120,2100,2110,24026300,970.166442871094
"2021-09-01",2150,2210,2150,2180,72378300,1002.35211181641
"2021-09-02",2200,2220,2170,2190,33632700,1006.95007324219
"2021-09-03",2200,2290,2200,2290,57376600,1052.92956542969
"2021-09-06",2300,2340,2290,2310,34645400,1062.12536621094
"2021-09-07",2320,2330,2270,2280,18759700,1048.33154296875
"2021-09-08",2280,2310,2250,2300,28186200,1057.52746582031
"2021-09-09",2300,2350,2280,2340,41081700,1075.91918945312
"2021-09-10",2340,2360,2310,2350,26774900,1080.51721191406
"2021-09-13",2350,2350,2310,2330,11547300,1071.3212890625
"2021-09-14",2350,2380,2340,2370,31209400,1089.71313476562
"2021-09-15",2360,2430,2350,2410,38499200,1108.10485839844
"2021-09-16",2420,2460,2380,2410,41284500,1108.10485839844
"2021-09-17",2350,2370,2300,2320,51739300,1066.72338867188
"2021-09-20",2320,2340,2270,2290,17119100,1052.92956542969
"2021-09-21",2290,2300,2230,2280,25481900,1048.33154296875
"2021-09-22",2290,2370,2280,2350,26238200,1080.51721191406
"2021-09-23",2390,2430,2360,2420,36159800,1112.70275878906
"2021-09-24",2450,2510,2440,2450,60322600,1126.49658203125
"2021-09-27",2460,2510,2440,2460,28935900,1131.09460449219
